Titre,QID_ouvrage,Auteur,image,QID_Auteur,pays de nationalité,Nationalité,EAN,mois_début,jour_début,Année_début,date_début,mois_fin,jour_fin,année_fin,date_fin,ecart_date,Genre auteur,Format,Pages,Editeur
La fille du sculpteur,,Tove Jansson,Tove-Jansson-1956b.jpg,Q102071,Finlande,Finlandaise,9782924898864,10,10,2023,2023-10-10T00:00:00Z,10,14,2023,2023-10-14T00:00:00Z,4,F,Ebook,176,La peuplade
Petit Déjeuner chez Tiffany,Q849930,Truman Capote,TrumanCapote1959.jpg,Q134180,États-Unis,Américaine,9782070363643,9,20,2020,2020-09-20T00:00:00Z,9,27,2020,2020-09-27T00:00:00Z,7,M,Broché,192,Gallimard
Se libérer de la domination des chiffres,,Valérie Charolles,Valérie Charolles.jpg,Q33105815,France,Française,9782213717241,7,23,2022,2022-07-23T00:00:00Z,8,5,2022,2022-08-05T00:00:00Z,13,F,Ebook,298,Fayard
"Le sexisme, une affaire d’hommes",,Valérie Rey-Robert,Valerie-Rey-Robert.jpg,Q62128038,France,Française,9782377291304,3,29,2021,2021-03-29T00:00:00Z,4,4,2021,2021-04-04T00:00:00Z,6,F,Broché,264,Libertalia
Récits de la Kolyma,Q2328292,Varlam Chalamov,Varlam Shalamov-NKVD crooped.jpg,Q220816,Empire russe,Russe,9782864327363,2,16,2023,2023-02-16T00:00:00Z,2,19,2023,2023-02-19T00:00:00Z,3,M,Broché,192,Verdier
Mourir à Sakiet,,Véronique Gazeau-Godet et Tramor Quemeneur,,,,N/A,9782130835714,4,4,2023,2023-04-04T00:00:00Z,6,9,2023,2023-06-09T00:00:00Z,66,C,Ebook,395,Presses universitaire de France
Au pied du mur,,Vincent Lemire,,Q45838990,France,Française,9782021461954,8,9,2022,2022-08-09T00:00:00Z,8,14,2022,2022-08-14T00:00:00Z,5,M,Ebook,416,Seuil
Autobiographie d'un poulpe,,Vinciane Despret,Vinciane Despret inverse.jpg,Q3559975,Belgique,Française,9782330147631,5,13,2021,2021-05-13T00:00:00Z,5,16,2021,2021-05-16T00:00:00Z,3,F,Ebook,156,Actes Sud
Mrs. Dalloway,Q752584,Virginia Woolf,Virginia Woolf 1927.jpg,Q40909,Royaume-Uni,Britannique,9782818052006,10,9,2021,2021-10-09T00:00:00Z,10,22,2021,2021-10-22T00:00:00Z,13,F,Ebook,334,L’Iconoclaste
Une pièce à soi,,Virginia Woolf,Virginia Woolf 1927.jpg,Q40909,Royaume-Uni,Britannique,9782743621858,9,5,2020,2020-09-05T00:00:00Z,9,13,2020,2020-09-13T00:00:00Z,8,F,Ebook,192,Rivages
Mordre au travers,Q3323863,Virginie Despentes,Virginie Despentes 2012.jpg,Q295015,France,Française,9782290230312,3,15,2022,2022-03-15T00:00:00Z,3,20,2022,2022-03-20T00:00:00Z,5,F,Ebook,128,Librio
Cher connard,,Virginie Despentes,Virginie Despentes 2012.jpg,Q295015,France,Française,9782246826514,8,27,2022,2022-08-27T00:00:00Z,9,10,2022,2022-09-10T00:00:00Z,14,F,Ebook,352,Grasset
Manaraga,Q30887677,Vladimir Sorokine,"Vladimir Sorokin, September 2015.jpg",Q319839,Union soviétique,Russe,9782355970382,8,28,2022,2022-08-28T00:00:00Z,9,3,2022,2022-09-03T00:00:00Z,6,M,Broché,250,L’inventaire
Telluria,,Vladimir Sorokine,"Vladimir Sorokin, September 2015.jpg",Q319839,Union soviétique,Russe,9782330074982,8,12,2021,2021-08-12T00:00:00Z,8,19,2021,2021-08-19T00:00:00Z,7,M,Ebook,354,Actes Sud
Franck Merriwell à la Maison blanche,,Ward Moore,,Q947986,États-Unis,Américaine,9782369350217,11,8,2020,2020-11-08T00:00:00Z,11,9,2020,2020-11-09T00:00:00Z,1,M,Broché,80,Passager clandestin
Le corps est une chimère,,Wendy Delorme,Wendy par daria.jpg,Q3567243,France,Française,9791030702163,8,9,2023,2023-08-09T00:00:00Z,8,11,2023,2023-08-11T00:00:00Z,2,F,Ebook,272,Au diable vauvert
Tempête,,William Shakespeare,Shakespeare.jpg,Q692,royaume d'Angleterre,Britannique,9782081331808,11,1,2020,2020-11-01T00:00:00Z,11,3,2020,2020-11-03T00:00:00Z,2,M,Broché,304,Flammarion
Mais leurs yeux dardaient sur Dieu,,Zora Neale Hurston,Hurston-Zora-Neale-LOC.jpg,Q220480,États-Unis,Américaine,9782843049323,12,22,2022,2022-12-22T00:00:00Z,12,30,2022,2022-12-30T00:00:00Z,8,F,Ebook,256,Zulma
Juifs et capitalisme. Aux origines d'une légende,,Francesca Trivellato,Francesca Trivellato - Festival Economia 2018.jpg,Q52450644,Italie,Italienne,9782021457889,1,1,2024,2024-01-01T00:00:00Z,1,6,2024,2024-06-01T00:00:00Z,5,F,Ebook,432,Seuil
Eden,,Auður Ava Ólafsdóttir,Audur Ava ÓLAFSDÓTTIR.jpg,Q454068,Islande,Islandaise,9791038702288,1,2,2024,2024-02-01T00:00:00Z,1,6,2024,2024-06-01T00:00:00Z,4,F,Ebook,256,Zulma
La vérité sur la lumière,,Auður Ava Ólafsdóttir,Audur Ava ÓLAFSDÓTTIR.jpg,Q454068,Islande,Islandaise,9791038700642,1,6,2024,2024-06-01T00:00:00Z,1,10,2024,2024-10-01T00:00:00Z,4,F,Ebook,224,Zulma
"Codes, races, climats habitudes",,Wendy Hui Kyong Chun,Wendy Hui Kyong Chun at Fear and Loathing of the Online Self (34439233570).jpg,Q23883713,,N/A,9782378963576,1,6,2024,2024-06-01T00:00:00Z,1,13,2024,2024-01-13T00:00:00Z,7,F,Broché,192,Les presses du réel
La femme qui a reconstitué le monde,,Eva Tind,,Q25476439,Royaume de Danemark,Danoise,9782072957468,1,10,2024,2024-10-01T00:00:00Z,1,18,2024,2024-01-18T00:00:00Z,8,F,Ebook,560,Gallimard
Ce que le football est devenu,,Jérôme Latta,,,,Française,9791097088637,1,17,2024,2024-01-17T00:00:00Z,1,21,2024,2024-01-21T00:00:00Z,4,M,Broché,200,Divergences
L’effet maternel,,Virginie Linhart,Virginie Linhart.jpg,Q3560750,France,Française,9782081505414,1,20,2024,2024-01-20T00:00:00Z,1,20,2024,2024-01-20T00:00:00Z,0,F,Ebook,224,Flammarion
Une sale affaire,,Virginie Linhart,Virginie Linhart.jpg,Q3560750,France,Française,9782080415851,1,21,2024,2024-01-21T00:00:00Z,1,23,2024,2024-01-23T00:00:00Z,2,F,Ebook,192,Flammarion
Habiter l’indépendance,,Coll.,,,,N/A,9782957749812,1,23,2024,2024-01-23T00:00:00Z,1,28,2024,2024-01-28T00:00:00Z,5,C,Broché,352,SHED
La lectrice disparue,,Sigríður Hagalín Björnsdóttir,Sigridur Hagalin Björnsdottir 2.jpg,Q85973180,Islande,Islandaise,9782847209938,1,25,2024,2024-01-25T00:00:00Z,2,3,2024,2024-03-02T00:00:00Z,9,F,Ebook,336,Gaïa
Le soin des choses,,Jérôme Denis et David Pontille,,,,Française,9782348064838,2,3,2024,2024-03-02T00:00:00Z,2,19,2024,2024-02-19T00:00:00Z,16,M,Broché,376,La Découverte
Althusser assassin,,Francis Dupuis-Déri,,Q3081406,Canada,Canadienne,9782890918443,2,6,2024,2024-06-02T00:00:00Z,2,7,2024,2024-07-02T00:00:00Z,1,M,Broché,100,Remue-ménage
Play Boy,Q122911522,Constance Debré,CDebré.jpg,Q47486826,France,Française,9782234084292,2,8,2024,2024-08-02T00:00:00Z,2,8,2024,2024-08-02T00:00:00Z,0,F,Broché,160,Stock
Que faire des classes moyennes,,Nathalie Quintane,Nathalie-Quintane.jpg,Q3336659,France,Française,9782818041000,2,7,2024,2024-07-02T00:00:00Z,2,11,2024,2024-11-02T00:00:00Z,4,F,Ebook,112,P.O.L
Io sono la bestia,Q107476654,Andrea Donaera,,Q107463271,Italie,Italienne,9782366245783,2,11,2024,2024-11-02T00:00:00Z,2,18,2024,2024-02-18T00:00:00Z,7,M,Ebook,200,Cambourakis
En vérité Alice,,Tiffany Tavernier,Tiffany Tavernier (2018).jpg,Q3528268,France,Française,9782848055060,2,18,2024,2024-02-18T00:00:00Z,2,24,2024,2024-02-24T00:00:00Z,6,F,Ebook,288,Sabine Wespieser
L’été où tout a fondu,,Tiffany McDaniel,,Q99233345,,Américaine,9782351782514,2,24,2024,2024-02-24T00:00:00Z,3,13,2024,2024-03-13T00:00:00Z,18,F,Broché,480,Gallmeister
La nuit de noces,,Aïcha Limbada,,Q122222938,France,Française,9782348073168,2,16,2024,2024-02-16T00:00:00Z,3,6,2024,2024-06-03T00:00:00Z,19,F,Broché,352,La Découverte
Les filles du coin,,Yaëlle Amsellem-Mainguy,,Q104840171,France,Française,9782724640908,3,3,2024,2024-03-03T00:00:00Z,3,30,2024,2024-03-30T00:00:00Z,27,F,Ebook,272,Presses de Sciences Po
Cézanne,,Marie-Hélène Lafon,Marie-Hélène Lafon par Claude Truong-Ngoc octobre 2014.jpg,Q3291890,France,Française,9782080421357,4,1,2024,2024-01-04T00:00:00Z,4,6,2024,2024-06-04T00:00:00Z,5,F,Ebook,176,Flammarion
La France des larmes,,Emmanuel Fureix,Emmanuel Fureix Forum France Culture Histoire 2015.JPG,Q79674778,France,Française,9782876734975,3,25,2024,2024-03-25T00:00:00Z,4,5,2024,2024-05-04T00:00:00Z,11,M,Ebook,512,Champ Vallon
Le jour où mon père s’est tu,,Virginie Linhart,Virginie Linhart.jpg,Q3560750,France,Française,9782020913676,4,7,2024,2024-07-04T00:00:00Z,4,11,2024,2024-11-04T00:00:00Z,4,F,Ebook,180,Seuil
Rien ne s’oppose à la nuit,,Delphine de Vigan,Delphine de Vigan - Le Livre sur la Place (20740240153).jpg,Q186779,France,Française,9782709635790,4,11,2024,2024-11-04T00:00:00Z,4,20,2024,2024-04-20T00:00:00Z,9,F,Ebook,440,JC Lattès
Servir les riches,,Alizée Delpierre,,Q114074686,,Française,9782348069024,4,6,2024,2024-06-04T00:00:00Z,4,7,2024,2024-07-04T00:00:00Z,1,F,Ebook,208,La Découverte
Le malentendu,,Asad Haider,,Q88025401,,Américaine,9782354802561,4,13,2024,2024-04-13T00:00:00Z,4,17,2024,2024-04-17T00:00:00Z,4,M,Broché,176,Amsterdam
Les filles du chasseur d’ours,,Anneli Jordahl,Anneli Jordahl.JPG,Q4957395,Suède,Suédoise,9791032928493,4,20,2024,2024-04-20T00:00:00Z,4,29,2024,2024-04-29T00:00:00Z,9,F,Ebook,445,L’Observatoire
Les hommes et le féminisme,,Francis Dupuis-Déri,,Q3081406,Canada,Canadienne,9782845979789,4,29,2024,2024-04-29T00:00:00Z,5,2,2024,2024-02-05T00:00:00Z,3,M,Broché,160,Textuel
"La Mère, le Sainte et la Putain",,Wendy Delorme,Wendy par daria.jpg,Q3567243,France,Française,9782846264211,5,1,2024,2024-01-05T00:00:00Z,5,4,2024,2024-04-05T00:00:00Z,3,F,Ebook,200,Au diable vauvert
Pour l’intersectionnalité,,"Sarah Mazouz, Eléonor Lépinard",,,,Française,9782381910277,5,3,2024,2024-03-05T00:00:00Z,5,4,2024,2024-04-05T00:00:00Z,1,F,Broché,72,Anamosa
Les Santigao Boys,,Evgeny Morozov,Wer kann die neue Zukunft machen? (17333061348).jpg,Q93054,Biélorussie,Américaine,9791097088699,5,4,2024,2024-04-05T00:00:00Z,5,7,2024,2024-07-05T00:00:00Z,3,M,Broché,250,Divergences
Le Sanctuaire,,Laurine Roux,,Q98733555,France,Française,9782373852158,5,7,2024,2024-07-05T00:00:00Z,5,8,2024,2024-08-05T00:00:00Z,1,F,Ebook,147,Du Sonneur
Voyages sans bagages,,Tove Jansson,Tove Jansson 1956b.jpg,Q102071,Finlande,Finlandaise,9782925141952,5,9,2024,2024-09-05T00:00:00Z,5,11,2024,2024-11-05T00:00:00Z,2,F,Ebook,280,La peuplade
La modernité désenchantée,,"Emmanuel Fureix, François Jarrige",,,,Française,9782348057540,5,11,2024,2024-11-05T00:00:00Z,5,20,2024,2024-05-20T00:00:00Z,9,M,Ebook,416,La Découverte
L’autre moitié du monde,,Laurine Roux,,Q98733555,France,Française,9782373852530,5,20,2024,2024-05-20T00:00:00Z,5,23,2024,2024-05-23T00:00:00Z,3,F,Ebook,255,La peuplade
Mélancolie ouvrière,,Michelle Perrot,Michelle Perrot juin 2016 (cropped).jpg,Q3311452,France,Française,9782246797791,5,24,2024,2024-05-24T00:00:00Z,5,26,2024,2024-05-26T00:00:00Z,2,F,Ebook,192,Grasset
Des archives considérées comme une substance hallucinogène,,Michel Melot,Nouvelles de l'estampe - Colloque des 50 ans - ouverture 2.JPG,Q3310336,France,Française,9782357231801,5,25,2024,2024-05-25T00:00:00Z,5,25,2024,2024-05-25T00:00:00Z,0,M,Broché,46,Ecole nationale des chartes
Encabanée,,Gabrielle Filteau-Chiba,Gabrielle Filteau-Chiba.jpg,Q105943211,Canada,Canadienne,9782361397029,5,26,2024,2024-05-26T00:00:00Z,5,28,2024,2024-05-28T00:00:00Z,2,F,Ebook,120,Les mots et le reste
"Vidal, tueur de femmes",,"Philippe Artières, Dominique Kalifa",,,,Française,9782864329220,5,26,2024,2024-05-26T00:00:00Z,6,4,2024,2024-04-06T00:00:00Z,9,M,Ebook,368,Verdier
Betty,,Tiffany McDaniel,,Q99233345,,Américaine,9782351782453,6,2,2024,2024-02-06T00:00:00Z,7,13,2024,2024-07-13T00:00:00Z,41,F,Ebook,720,Gallmeister
Les campagnes françaises à l’époque moderne,,Emmanuelle Charpentier,Emmanuelle Charpentier.jpg,Q17280087,France,Française,9782200624552,6,5,2024,2024-05-06T00:00:00Z,6,30,2024,2024-06-30T00:00:00Z,25,F,Ebook,368,Armand Colin
Schizophrénie numérique,,Anne Alombert,,Q117744659,France,Française,9791030429671,7,2,2024,2024-02-07T00:00:00Z,7,9,2024,2024-09-07T00:00:00Z,7,F,Broché,94,Allia
Le miasme et la jonquille,,Alain Corbin,Alain Corbin (2020).jpg,Q1361997,France,Française,9782081382411,7,11,2024,2024-11-07T00:00:00Z,8,4,2024,2024-04-08T00:00:00Z,24,M,Ebook,432,Flammarion
La Fabrique du droit,Q3208523,Bruno Latour,Bruno Latour in Taiwan P1250394 (cropped).jpg,Q355237,France,Française,9782707144720,7,16,2024,2024-07-16T00:00:00Z,8,15,2024,2024-08-15T00:00:00Z,30,M,Broché,324,La Découverte
Colline,,Jean Giono,Jean-Giono-1932.png,Q177411,France,Française,9782253002895,7,21,2024,2024-07-21T00:00:00Z,7,22,2024,2024-07-22T00:00:00Z,1,M,Ebook,160,Le livre de poche
Le grand troupeau,,Jean Giono,Jean-Giono-1932.png,Q177411,France,Française,9782070367603,7,22,2024,2024-07-22T00:00:00Z,7,28,2024,2024-07-28T00:00:00Z,6,M,Ebook,256,Le livre de poche
L’île,,Sigríður Hagalín Björnsdóttir,Sigridur Hagalin Björnsdottir 2.jpg,Q85973180,Islande,Islandaise,9782847208153,8,4,2024,2024-04-08T00:00:00Z,8,6,2024,2024-06-08T00:00:00Z,2,F,Ebook,272,Gaïa
Nouvelle histoire de la révolution,,Annie Jourdan,AnnieJourdan.jpg,Q45834571,France,Française,9782081250369,8,6,2024,2024-06-08T00:00:00Z,9,1,2024,2024-01-09T00:00:00Z,26,F,Ebook,656,Flammarion
La danse de l’argia,,Clara Gallini,,Q16657954,Italie,Italienne,9782841626908,8,21,2024,2024-08-21T00:00:00Z,8,26,2024,2024-08-26T00:00:00Z,5,F,Broché,344,Edition de l’éclats
"Io, Jean Gabin",Q28671033,Goliarda Sapienza,Goliarda Sapienza.jpg,Q1587727,Italie,Italienne,9782370551276,8,24,2024,2024-08-24T00:00:00Z,8,30,2024,2024-08-30T00:00:00Z,6,F,Broché,138,Le Tripode
The Women's Room,Q7775594,Marilyn French,,Q271931,États-Unis,Américaine,9782221269664,8,15,2024,2024-08-15T00:00:00Z,9,15,2024,2024-09-15T00:00:00Z,31,F,Ebook,704,Robert Laffont
La Vendée et la Révolution,,Jean-Clément Martin,Jean-Clément Martin (2018).jpg,Q1414029,France,Française,9782262025977,9,2,2024,2024-02-09T00:00:00Z,9,7,2024,2024-07-09T00:00:00Z,5,M,Ebook,288,Perrin
La mine en procès,,Philippe Artières,Philippe Artières (2023).jpg,Q3379243,France,Française,9782381910628,9,7,2024,2024-07-09T00:00:00Z,9,25,2024,2024-09-25T00:00:00Z,18,M,Broché,256,Anamosa
Jour de ressac,,Maylis de Kerangal,Maylis de Kerangal (43498209950).png,Q464150,France,Française,9782073054975,9,15,2024,2024-09-15T00:00:00Z,9,20,2024,2024-09-20T00:00:00Z,5,F,Broché,256,Verticales
Diner à Douarnenez,,Claude McKay,Mackey.jpg,Q1096967,colonie de Jamaïque,Américaine,9791097210137,9,21,2024,2024-09-21T00:00:00Z,9,22,2024,2024-09-22T00:00:00Z,1,M,Broché,100,Héliotropismes
Frapper l'épopée,Q130680634,Alice Zeniter,AliceZeniterManosque.jpg,Q2836679,France,Française,9782080440587,9,22,2024,2024-09-22T00:00:00Z,10,2,2024,2024-02-10T00:00:00Z,10,F,Ebook,352,Flammarion
Survivre,,Jérémie Foa,Jérémie Foa (2024).jpg,Q45832557,France,Française,9782021181272,9,26,2024,2024-09-26T00:00:00Z,10,13,2024,2024-10-13T00:00:00Z,17,M,Broché,352,Seuil
La langue des choses cachées,,Cécile Coulon,Cécile Coulon - Atlantide 2018.jpg,Q3009720,France,Française,9782378804046,10,1,2024,2024-01-10T00:00:00Z,10,6,2024,2024-06-10T00:00:00Z,5,F,Ebook,134,L’Iconoclaste
La désinvolture est une bien belle chose,,Philippe Jaenada,Philippe Jaenada-Salon du livre en Bretagne 2012 (1).jpg,Q3380060,France,Française,9782080427298,10,6,2024,2024-06-10T00:00:00Z,10,25,2024,2024-10-25T00:00:00Z,19,M,Ebook,496,Mialet-Barrault
Pour Britney,,Louise Chennevière,Louise Chennevière LslaP 1550078 (cropped).jpg,Q130245084,,Française,9782818061381,10,13,2024,2024-10-13T00:00:00Z,10,14,2024,2024-10-14T00:00:00Z,1,F,Ebook,144,P.O.L
The Left Hand of Darkness,Q2008211,Ursula K. Le Guin,Ursula Le Guin (3551195631) b (cropped).jpg,Q181659,États-Unis,Américaine,9782221255698,10,25,2024,2024-10-25T00:00:00Z,11,18,2024,2024-11-18T00:00:00Z,24,F,Ebook,312,Robert Laffont
Au coeur de l’archive coloniale,,Ann Laura Stoler,,Q16203101,États-Unis,Américaine,9782713227738,10,26,2024,2024-10-26T00:00:00Z,11,15,2024,2024-11-15T00:00:00Z,20,F,Broché,392,EHESS
La prophète rouge,,Julie Pagis,Photo Julie Pagis.png,Q18593670,France,Française,9782348078897,11,2,2024,2024-02-11T00:00:00Z,11,12,2024,2024-12-11T00:00:00Z,10,F,Broché,352,La Découverte
De l’écran à l’émotion quand le numérique devient patrimoine,,Emmanuelle Bermès,Rencontres Wikimedia France - Intervention d'Emmanuelle Bermès.JPG,Q42303200,France,Française,9782357231870,11,13,2024,2024-11-13T00:00:00Z,11,20,2024,2024-11-20T00:00:00Z,7,F,Broché,239,Ecole nationale des chartes
Nord sentinelle,,Jérôme Ferrari,Jérôme Ferrari 2010.jpg,Q43872,France,Française,9782330194413,11,19,2024,2024-11-19T00:00:00Z,11,,2024,/11/2024,,M,Ebook,,Actes Sud
Intermezzo,Q131036665,Sally Rooney,,Q54861296,Irlande,Irlandaise,9782073074621,11,21,2024,2024-11-21T00:00:00Z,12,1,2024,2024-01-12T00:00:00Z,10,F,Ebook,464,Gallimard
Conservation entre amis,,Sally Rooney,,Q54861296,Irlande,Irlandaise,9782823610710,12,1,2024,2024-01-12T00:00:00Z,12,7,2024,2024-07-12T00:00:00Z,6,F,Ebook,400,L’Olivier
Normal People,Q55360383,Sally Rooney,,Q54861296,Irlande,Irlandaise,9782823615241,12,7,2024,2024-07-12T00:00:00Z,12,9,2024,2024-09-12T00:00:00Z,2,F,Ebook,320,L’Olivier
"Où es-tu, monde admirable ",,Sally Rooney,,Q54861296,Irlande,Irlandaise,9782823618501,12,9,2024,2024-09-12T00:00:00Z,12,15,2024,2024-12-15T00:00:00Z,6,F,Ebook,384,L’Olivier
Ann d’Angleterre,,Julia Deck,,Q18630101,France,Française,9782021576535,12,15,2024,2024-12-15T00:00:00Z,12,17,2024,2024-12-17T00:00:00Z,2,F,Ebook,256,Seuil
Amis ou ennemis,,Régine Le Jan,,Q3455498,France,Française,9782021539578,12,17,2024,2024-12-17T00:00:00Z,12,,2024,/12/2024,,F,Ebook,528,Seuil
